FolderName,DistanceTag,Distance,MeanCorrelation
re2500_we10_raytraced_D4.00pi,D4.00pi,4,0.495857160257437
re2500_we10_raytraced_D4.67pi,D4.67pi,4.67,0.508870909788215
re2500_we10_raytraced_D5.33pi,D5.33pi,5.33,0.515745435204072
re2500_we10_raytraced_D6.00pi,D6.00pi,6,0.520144414978053
re2500_we10_raytraced_D6.57pi,D6.57pi,6.57,0.519546910211749
re2500_we10_raytraced_D7.14pi,D7.14pi,7.14,0.516882696518873
re2500_we10_raytraced_D7.71pi,D7.71pi,7.71,0.513262897899873
re2500_we10_raytraced_D8.29pi,D8.29pi,8.29,0.508248260155067
re2500_we10_raytraced_D8.86pi,D8.86pi,8.86,0.500764508967712
re2500_we10_raytraced_D9.43pi,D9.43pi,9.43,0.493787275369609
re2500_we10_raytraced_D10.00pi,D10.00pi,10,0.485885444295022
re2500_we10_raytraced_D12.00pi,D12.00pi,12,0.456055923560091
re2500_we10_raytraced_D12.57pi,D12.57pi,12.57,0.447837366723088
re2500_we10_raytraced_D13.14pi,D13.14pi,13.14,0.438297934074909
re2500_we10_raytraced_D13.71pi,D13.71pi,13.71,0.428105842492021
re2500_we10_raytraced_D14.29pi,D14.29pi,14.29,0.418970172423617
re2500_we10_raytraced_D14.86pi,D14.86pi,14.86,0.409595874449171
re2500_we10_raytraced_D15.43pi,D15.43pi,15.43,0.399814695918377
re2500_we10_raytraced_D16.00pi,D16.00pi,16,0.390070117201661
