FolderName,DistanceTag,Distance,MeanCorrelation
RayTrace_500SAMPLED_B1024_D0.5pi,D0.5pi,0.5,0
RayTrace_500SAMPLED_B1024_D1pi,D1pi,1,0
RayTrace_500SAMPLED_B1024_D1.5pi,D1.5pi,1.5,0
RayTrace_500SAMPLED_B1024_D2pi,D2pi,2,0
RayTrace_500SAMPLED_B1024_D2.5pi,D2.5pi,2.5,0
RayTrace_500SAMPLED_B1024_D3pi,D3pi,3,0
RayTrace_500SAMPLED_B1024_D3.5pi,D3.5pi,3.5,0
RayTrace_500SAMPLED_B1024_D4pi,D4pi,4,0
RayTrace_500SAMPLED_B1024_D5pi,D5pi,5,0
RayTrace_500SAMPLED_B1024_D6pi,D6pi,6,0
RayTrace_500SAMPLED_B1024_D8pi,D8pi,8,0
RayTrace_500SAMPLED_B1024_D10pi,D10pi,10,0
RayTrace_500SAMPLED_B1024_D12pi,D12pi,12,0
RayTrace_500SAMPLED_B1024_D14pi,D14pi,14,0
