FolderName,DistanceTag,Distance,MeanCorrelation
simenCase_raytraced_D0.08pi,D0.08pi,0.08,0
simenCase_raytraced_D0.25pi,D0.25pi,0.25,0
simenCase_raytraced_D0.32pi,D0.32pi,0.32,0
simenCase_raytraced_D0.50pi,D0.50pi,0.5,0
simenCase_raytraced_D1.39pi,D1.39pi,1.39,0
simenCase_raytraced_D2.47pi,D2.47pi,2.47,0
simenCase_raytraced_D3.00pi,D3.00pi,3,0
simenCase_raytraced_D3.01pi,D3.01pi,3.01,0
simenCase_raytraced_D3.55pi,D3.55pi,3.55,0
simenCase_raytraced_D4.62pi,D4.62pi,4.62,0
simenCase_raytraced_D5.70pi,D5.70pi,5.7,0
simenCase_raytraced_D6.77pi,D6.77pi,6.77,0
simenCase_raytraced_D7.85pi,D7.85pi,7.85,0
simenCase_raytraced_D8.92pi,D8.92pi,8.92,0
simenCase_raytraced_D10.00pi,D10.00pi,10,0
